nouveau_nom,nom_table,referent,Modifs appliquées,resume,date_maj,sensibilite,table_a_supprimer,commentaires,
,le_mercantour_zh,Adele Rauzier,oui,"Cartographie issus d’une modélisation et de cartes existantes (Lambertin, ONF etc.) dans le cadre de l’élaboration du DOCOB du site Natura2000 « Le Mercantour ».",01/01/04,interne,non,,
,onf_authion_moulinet_releves_hab_poly,Adele Rauzier,oui,,,,oui,Intégré à carte agglomérée des CBN – à supprimer – accès coupés,
,onf_fc_breil_releves_flore_pct,Adele Rauzier,oui,,,interne,Oui,Intégré à géonature – accès coupés,
,onf_fc_breil_releves_hab_pct,Adele Rauzier,oui,Localisation des relevés de végétation avec description des habitats.  Réalisation de l’ONF dans le cadre de la  révision de l’aménagement de la forêt communale de la commune de Breil-sur-Roya. ,01/12/10,interne,non,,
,onf_fc_breil_releves_hab_poly,Adele Rauzier,oui,,,,oui,Intégré à carte agglomérée des CBN – à supprimer – accès coupés,
,onf_fc_valdeblore_releves_hab_line,Adele Rauzier,oui,Localisation des linéaires de végétation à caractère humide avec description des habitats.  Réalisation de l’ONF dans le cadre de la  révision de l’aménagement de la forêt communale de la commune de Valdeblore. ,01/12/10,interne,non,,
,onf_fc_valdeblore_releves_hab_pct,Adele Rauzier,oui,Localisation des relevés de végétation avec description des habitats.  Réalisation de l’ONF dans le cadre de la  révision de l’aménagement de la forêt communale de la commune de Valdeblore. ,01/12/10,interne,non,,
,onf_fc_valdeblore_releves_hab_poly,Adele Rauzier,oui,,,,oui,Intégré à carte agglomérée des CBN – à supprimer – accès coupés,
,physionomie_eon_2006,Adele Rauzier,oui,Couche de physionomie de la végétation issue des travaux de télédétection du CEMAGREF de Grenoble dans le cadre du programme EON2000. ,01/01/06,interne,non,,
,physionomie_jl_laurent,Adele Rauzier,oui,"Cartographie des faciès paysagers, au 1/ 25000. Elle décrit la structure des peuplements végétaux, les espèces arborescentes dominantes et le substrat. Cette carte est un état des lieux des années 1982-1984. Réalisation par Jean-Louis Laurent",01/01/84,public,non,,
,phytosociologie_alliance_barbero_revu_lambertin,Adele Rauzier,oui,Cartographie de la végétation et étude des séries dynamiques de végétation.  Réalisation au 1/100 000 par Marcel Barbero et revue par Michel Lambertin avec ajout des alliances par polygone. ,01/01/03,public,non,,
,phytosociologie_barbero,Adele Rauzier,oui,Cartographie de la végétation et étude des séries dynamiques de végétation.  Réalisation au 1/100 000 par Marcel Barbero.,01/01/03,public,non,,
,phytosociologie_le_mercantour_cbna_04_poly,Adele Rauzier,oui,"Cartographie des végétations de la partie 04 du parc national du Mercantour, réalisé par le CBNA. Réalisation en 2002.",,,oui,Intégré à carte agglomérée des CBN- à supprimer – accès coupés,
,phytosociologie_le_mercantour_est_cbna,Adele Rauzier,oui,Localisation des relevés de végétation en Roya et Vésubie. Réalisation par Jérémie VAN ES (CBNA) et Michel LAMBERTIN en 2005. ,01/08/05,interne,non,,
,phytosociologie_valalpbon_cbna_pct,Adele Rauzier,oui,Localisation des relevés de végétation sur l’alpage de Valapbon. Réalisation par Jérémie VAN ES (CBNA) en 2009. ,18/09/06,interne,non,,
,phytosociologie_valalpbon_cbna_poly,Adele Rauzier,oui,,,,oui,Intégré à carte agglomérée des CBN- à supprimer – accès coupés,
,phytosociologie_ventabren_cbna_pct,Adele Rauzier,oui,Localisation des relevés de végétation sur l’alpage de ventabren. Réalisation par Jérémie VAN ES (CBNA) en 2004. ,01/08/04,interne,non,,
,suivi_catalogue,Adele Rauzier,oui,"Localisation de relevés de végétation et description de la méthode : plateau de la Céva, Ventabren, l’Ortiguier, Ourno. Réalisation en 2005 et 2006.",01/01/06,interne,non,,
,suivi_ventabran_zone,Adele Rauzier,oui,Délimitation Ventabran. ,18/09/06,interne,non,,
,suivi_ventabren_cbna_pct,Adele Rauzier,,Localisation de relevés de végétation par Jérémie VAN ES (CBNA) en 2006.,18/09/06,interne,non,,
,A AJOUTER,,,,,,,,
agglomeration_cartographie,vegetation_cbn,Adele Rauzier,oui,"Agglomération des cartes de végétation réalisées jusqu’en 2012, travail réalisé par les CBN de 2012 à 2014. Dernière mise à jour en 2021. ",01/01/21,interne,,"""X:\1.1 ACQUISITION CONNAISSANCES SCIENTIFIQUES\HABITATS NATURELS\3- CBN_ typo et carto des habitats  2012 2014\1-RENDUS\CARTE D AGGLOMERATION DES CARTES\SHP avec jointure\agglo_poly_global_region_joint.shp""","Métadonnées : ""X:\1.1 ACQUISITION CONNAISSANCES SCIENTIFIQUES\HABITATS NATURELS\3- CBN_ typo et carto des habitats  2012 2014\1-RENDUS\METADONNEES\inventaires_habitats_v14_20210324.xlsx"""
habitat_rimplas,cartographie_FC_Rimplas,Adele Rauzier,oui,Cartographie des habitats à l’occasion de la révision de l’aménagement de la forêt communale (FC) de Rimplas. Cartographie réalisée par Corinne Frachon (ONF) en 2019.,01/08/19,interne,non,"""X:\1.1 ACQUISITION CONNAISSANCES SCIENTIFIQUES\HABITATS NATURELS\4- CARTOGRAPHIES ET EC\Cartes habitats_tout pnm\Etude FC de Rimplas ONF 2021\SHAPES_SIG_FC_Rimplas\FC_RIMPLAS_POLY.shp""","Métadonnées : ""X:\1.1 ACQUISITION CONNAISSANCES SCIENTIFIQUES\HABITATS NATURELS\4- CARTOGRAPHIES ET EC\Cartes habitats_tout pnm\Etude FC de Rimplas ONF 2021\Métadonnées_FC_Rimplas\METADONNEES_FC_RIMPLAS_POLY.xls"""
habitat_rimplas_releve,rel_phyt_FC_Rimplas_ONF_2019,Adele Rauzier,oui,Localisation des relevés de végétation pour la cartographie des habitats à l’occasion de la révision de l’aménagement de la forêt communale (FC) de Rimplas. Cartographie réalisée par Corinne Frachon (ONF) en 2019. ,01/08/19,interne,non,"""X:\1.1 ACQUISITION CONNAISSANCES SCIENTIFIQUES\HABITATS NATURELS\4- CARTOGRAPHIES ET EC\Cartes habitats_tout pnm\Etude FC de Rimplas ONF 2021\SHAPES_SIG_FC_Rimplas\rel_phyt_FC_Rimplas_ONF_2019.shp""","Métadonnées :""X:\1.1 ACQUISITION CONNAISSANCES SCIENTIFIQUES\HABITATS NATURELS\4- CARTOGRAPHIES ET EC\Cartes habitats_tout pnm\Etude FC de Rimplas ONF 2021\Métadonnées_FC_Rimplas\METADONNEES_FC_RIMPLAS_REL_PHYTO_2019.xls"""
habitat_vignols,cartographie_demans_vignols_longon,Adele Rauzier,oui,"Cartographie et évaluation de l’état de conservation des habitats ouverts d’altitude de 3 alpages : Démans, Vignols, Longon. Réalisation en 2022 par le bureau d’étude ODEPP, en la personne de Laurence FOUCAUT.",01/08/22,interne,non,"""X:\1.1 ACQUISITION CONNAISSANCES SCIENTIFIQUES\HABITATS NATURELS\4- CARTOGRAPHIES ET EC\2-SECTEURS\TINEE\DEMANS-VIGNOLS-LONGON_2022\Vignols_Rendu_Novembre_2023\Couches_Def_Odepp_Vignols_2023\Les_Vignols_Habitats_Alterations.shp""",
habitat_vignols_releves,Points_Releves_Les_Vignols_Odepp,Adele Rauzier,oui,"Localisation des relevés de végétation pour la cartographie des habitats et l’évaluation de l’état de conservation des habitats ouverts d’altitude de 3 alpages : Démans, Vignols, Longon. Réalisation en 2022 par le bureau d’étude ODEPP, en la personne de Laurence FOUCAUT.",01/08/22,interne,non,"""X:\1.1 ACQUISITION CONNAISSANCES SCIENTIFIQUES\HABITATS NATURELS\4- CARTOGRAPHIES ET EC\2-SECTEURS\TINEE\DEMANS-VIGNOLS-LONGON_2022\Vignols_Rendu_Novembre_2023\Couches_Def_Odepp_Vignols_2023\Points_Releves_Les_Vignols_Odepp.shp""",
habitat_pragaze,cartographie_pra_gaze,Adele Rauzier,oui,"Cartographie et évaluation de l’état de conservation des habitats du site Natura 2000 « Adret de Pra Gazé », situé sur la commune de Saint-Dalmas-le-Selvage. Réalisation en 2020 par le bureau d’étude BIODIV, en la personne de Julien BARET.",01/01/21,interne,non,"""X:\1.1 ACQUISITION CONNAISSANCES SCIENTIFIQUES\HABITATS NATURELS\4- CARTOGRAPHIES ET EC\2-SECTEURS\TINEE\etudeCartoFine_PraGaze\données carto\HAB_PG_BIODIV_2020_Corr_Def.shp""",
habitat_tende,vegetation_Tende,Adele Rauzier,oui,Cartographie des habitats à l’occasion de la révision de l’aménagement de la forêt communale (FC) de Tende. Cartographie réalisée par l’ONF en 2002.,01/12/02,interne,non,"""X:\3.1 AGRICULTURE\2_GESTION_PASTORALE\Diagnostics pastoraux\non mis dans Zotero\ONF\Tende\vegetation_Tende.shp""",
